id,company_name
101,Hooli
102,Hooli Inc.
103,Hooli, Incorporated
104,Hooli LLC
105,Hooli Co.
106,Massive Dynamic
107,Massive Dynamic Inc
108,MassiveDynamic
109,Massive Dynamic LLC
110,Massive Dynammic
111,Soylent Corp
112,Soylent Corporation
113,Soylent Co.
114,Soylent Corp.
115,Soylent
116,Tyrell Corporation
117,Tyrell Corp.
118,Tyrell Corp
119,Tyrell Corporation LLC
120,Tyrell
121,Wonka Industries
122,Wonka Ind.
123,Wonka Industries, Inc.
124,Wonka Inds
125,Wonka Industries LLC
126,Cyberdyne Systems
127,Cyberdyne Systems Corp.
128,Cyberdyne Sys.
129,Cyberdyne Systemz
130,Cyberdyne Systems, Inc.
